log_id,generated_regex
19,"<(\d+)>\s*(?<timestamp>Feb\s+28\s+00:06:30)\s+(?<hostname>CYberlab-ENT-PA-440)\s+(?<version>1),(?<event_time>2025\/02\/28\s+00:06:30,021201155690),(?<source>SYSTEM),(?<category>general),(?<process_id>2816),(?<process_time>2025\/02\/28\s+00:06:30),,(?<subcategory>general),,(?<severity_code>0),(?<severity_name>0),(?<type>general),(?<impact>medium),\""\s*(?<message>.*?),\d+,\d+x\s*(\d+)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*,\s*(.*?)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(.*?)\s*$"
20,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/><EventID>(?<event_id>.*?)</EventID><Version>(?<version>.*?)</Version><Level>(?<level>.*?)</Level><Task>(?<task>.*?)</Task><Opcode>(?<opcode>.*?)</Opcode><Keywords>(?<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/><EventRecordID>(?<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/><Channel>(?<channel>.*?)</Channel><Computer>(?<computer>.*?)</Computer><Security\s+UserID=\'(?<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?<log_string>.*)
21,(?<timestamp>Mar\s+17\s+10:18:39)\s+(?<hostname>CLV010VLCBEDR01)\s+(?<procid>systemd\[375924\]):\s+(?<message>Closed\s+D-Bus\s+User\s+Message\s+Bus\s+Socket\.)\s*.*
22,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+\s*(?P<timestamp>.*?)\s+(?P<hostname>.*?)\s+(?P<procid>.*?)\s+(?P<msgid>.*?)\s+(?P<severity_name>.*?)\s+(?P<facility_name>.*?)\s+(?P<priority>.*?)\s+(?P<structured_data>.*?)I
23,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?P<provider_name>.*?)\'\s+Guid=\'(?P<provider_guid>.*?)\'/><EventID>(?P<event_id>.*?)</EventID><Version>(?P<version>.*?)</Version><Level>(?P<level>.*?)</Level><Task>(?P<task>.*?)</Task><Opcode>(?P<opcode>.*?)</Opcode><Keywords>(?P<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?P<timestamp>.*?)\'/><EventRecordID>(?P<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?P<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?P<process_id>.*?)\'\s+ThreadID=\'(?P<thread_id>.*?)\'/><Channel>(?P<channel>.*?)</Channel><Computer>(?P<computer>.*?)</Computer><Security\s+UserID=\'(?P<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?P<log_string>.*).*?</Data></EventData></Event>\s*
24,"<(\d+)>\s+(?<month>\w+)\s+(?<day>\d+)\s*:\d+:\d+\s+(?<device>\S+)\s+\s*(\d+)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*(.*?)\s*$"
25,(?<timestamp>Jun\s+16\s+07:03:22)\s+(?<hostname>combo)\s+(?<service>sshd\(pam_unix\))\[(?<pid>20896)\]:\s+authentication\s+failure;\s+logname=\s*(?<logname>).*?\seuid=\s*(?<euid>0)\s+tty=\s*(?<tty>NODEVssh)\s+ruser=\s*(?<ruser>).*?\srhost=\s*(?<rhost>220-135-151-1\.hinet-ip\.hinet\.net)\s+user=\s*(?<user>root)
26,(\w+)\s+(\d+)\s+(\d{2}:\d{2}:\d{2})\s+(\S+)\s+(\S+)\[(\d+)\]\:\s+(reverse\s+mapping\s+checking\s+getaddrinfo\s+for\s+\S+\s+\[(\d+\.\d+\.\d+\.\d+)\]\s+failed\s+-\s+POSSIBLE\s+BREAK\-IN\s+ATTEMPT\!)
27,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'>\s*<System>\s*<Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/>\s*<EventID>(?<event_id>.*?)</EventID>\s*<Version>(?<version>.*?)</Version>\s*<Level>(?<level>.*?)</Level>\s*<Task>(?<task>.*?)</Task>\s*<Opcode>(?<opcode>.*?)</Opcode>\s*<Keywords>(?<keywords>.*?)</Keywords>\s*<TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/>\s*<EventRecordID>(?<event_record_id>.*?)</EventRecordID>\s*<Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/>\s*<Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/>\s*<Channel>(?<channel>.*?)</Channel>\s*<Computer>(?<computer>.*?)</Computer>\s*<Security\s+UserID=\'(?<user_id>.*?)\'/>\s*</System>\s*<EventData>\s*<Data\s+Name=\'LogString\'>(?<log_string>.*?)(?:</Data>)?\s*</EventData>\s*</Event>\s*
28,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+\+\d\s+\[(.*?)\]\s+\[(.*?)\]\s+\[(.*?)\]\s+\[(.*?)\]\s+\[(.*?)\]\s+\[(.*?)\]\s+\[(.*?)\]\s+\[(.*?)\]\s+(.*)
29,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s-\s(?<log_level>[A-Z]+)\s+\[(?<component>[^\]]+)\]/\s*(\d+:\d+:\d+:\d+:\d+:\d+:\d+:\d+:\d+)\s*:\s*\s*FastLeaderElection\s+\s+\s+time\s+out:\s+(?<timeout>.*?)$"
30,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+\+\d\s*(?<timestamp2>.*?)\s+(?<module>.*?)::(?<submodule>.*?):(?<event>.*?),\s+licRunMode:\s+(?<licRunMode>.*?)\s*$"
31,(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
32,"(?P<timestamp>\d{2})\s+(\d{2})\s+(\d{4})\s+(\d{2}:\d{2}:\d{2})\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<([A-Z]+[0-9]+:[A-Z]+)>\s+(\d+)\s+([\d\-T:.+]+)\s+([A-Za-z0-9\-]+)\s+([A-Za-z0-9\-]+)\s+-\s+-\s+-\s+LEEF:2\.0\|radiflow\|isid\|(?P<version>[^\|]+)\|(?P<vmid>\d+)\|(?P<threatname>[^\|]+)\|(?P<severity>\w+)\|cat='(?P<category>\w+)'\s*id=(?P<id>\d+)\s*dvc=(?P<dvc>\S+)\s*SrcName=(?P<srcname>\S+)\s*SrcMac=(?P<srcmac>\S+)\s*SrcVendor=(?P<srcvendor>.*?)\s*SrcType=(?P<srctype>\S+)"
33,(?P<timestamp>\[\d{2}\.\d{2} \d{2}:\d{2}:\d{2}\])\s+(?P<application>[\w\.]+)\s+-\s+(?P<proxy>[\w\.\-]+:\d+)\s+(?P<action>[a-zA-Z]+) through proxy (?P<proxy2>[\w\.\-]+:\d+)\s+(?P<protocol>\w+)$
34,(\w+\s+\d+\s+\d+:\d+:\d+)\s+(\S+)\s+(\S+)\[\d+\]\:\s+(Failed\s+password)\s+for\s+(invalid\s+user|user)\s+(\S+)\s+from\s+(\S+)\s+port\s+(\d+)\s+(\S+)\s*
35,-\s+(\d+)\s+(\d{4}\.\d{2}\.\d{2})\s+(\w+)\s+(\w+\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(\w+)/(\w+)\s+(\w+)\((\w+)\)\[(\d+)\]\:\s+session\s+closed\s+for\s+user\s+(\w+)
36,(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
37,(?P<timestamp>\d{2}\/\d{2}\/\d{2} \d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<module>[\w\.]+):\s+(?P<message>.*)
38,(?P<timestamp>\S+\s+\S+)\s+(?P<timezone>\S+)\s+\[(?P<log_level>\w+)\]\s+\[(?P<component>\w+)\s+\]\s+\[(?P<thread_id>0x[\da-fA-F]+)\]\s+\[(?P<module>\w+)\s+\]\s+\[\((?P<context>\w*)\)\s+\]\s+\[(?P<function>\w+\(\))\s+\]\s+\[(?P<source_file>[\w\.\w]+)\s+\]\s+\[(?P<line_no>\d+)\]\s+(?P<message>.*)
39,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+\+\d\s*(?<timestamp2>.*?)\s+\[(?<log_level>.*?)\]\s+\[(?<module>.*?)\]\s+\[(?<thread_id>.*?)\]\s+\[(?<component>.*?)\]\s+\[(?<context>.*?)\]\s+\[(?<function>.*?)\]\s+\[(?<file>.*?)\]\s+\[(?<line_number>.*?)\]\s+(?<message>.*)
40,"(?<client_ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s+\[(?<timestamp>[^\]]+)\]\s+\""(?<method>[^\""]+)\s+(?<url>[^\""]+)\s+HTTP/\d+\.\d+\""\s+(?<status_code>\d+)\s+(?<response_size>\d+)\s+\""(?<referrer>[^\""]+)\""\s+\""(?<user_agent>.*)\""\s*"
41,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?<server>[\w\d]+)\s+(?<controller>[\w\d]+)\s+\[(?<log_level>[A-Z]+)\]:\s+(?<message>.*)
42,"\<(?P<syslog_priority>\d+)\>\s*(?P<timestamp_month_day>\w+\s+\d+)\s+(?P<timestamp_time>\d+:\d+:\d+)\s+(?P<hostname>\S+)\s+\s*(?<version>\d+)\s*,(?<timestamp>\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2})\s*,\s*(?<msgid>.*?)\s*,\s*(?<facility_name>.*?)\s*,\s*(?<protocol>.*?)\s*,\s*(?<procid>.*?)\s*,\s*(?<generated_timestamp>.*?)\s*,\s*(?<structured_data>.*?)\s*,\s*(?<severity_code>.*?)\s*,\s*(?<severity_name>.*?)\s*,\s*(?<app_name>.*?)\s*,\s*(?<msg>.*?),\s*(?<event_id>.*?),\s*(?<event_type>.*?),\s*(?<event_category>.*?),\s*(?<event_severity>.*?),\s*(?<event_status>.*?),\s*(?<hostname2>.*?),\s*(?<source_ip>.*?),\s*(?<source_port>.*?),\s*(?<destination_ip>.*?),\s*(?<destination_port>.*?),\s*(?<additional_info>.*?),\s*(?<iso_timestamp>.*?)\s*$"
43,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+\+\d{2}:\d{2}\s+\[(?<log_level>[^\]]+)\]\s+\[(?<source>[^\]]+)\]\s+\[(?<thread_id>[^\]]+)\]\s+\[(?<component>[^\]]+)\]\s+\[(?<context>[^\]]+)\]\s+\[(?<function>[^\]]+)\]\s+\[(?<file>[^\]]+)\]\s+\[(?<line_number>\d+)\]\s+(?<message>.*)
44,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s+(?<log_level>\w+)\s+\[(?<thread>.*)\]\s+(?<logger>[\w\.]+):\s+(?<task_id>\w+_\d+_\d+_\w+_\d+)\s+(?<message>.*)"
45,(?<timestamp>\d{2}\/\d{2}\/\d{2}\s+\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<class_name>\S+)\:\s+(?<message>.*)
46,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?P<provider_name>.*?)\'\s+Guid=\'(?P<provider_guid>.*?)\'/><EventID>(?P<event_id>.*?)</EventID><Version>(?P<version>.*?)</Version><Level>(?P<level>.*?)</Level><Task>(?P<task>.*?)</Task><Opcode>(?P<opcode>.*?)</Opcode><Keywords>(?P<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?P<timestamp>.*?)\'/><EventRecordID>(?P<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?P<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?P<process_id>.*?)\'\s+ThreadID=\'(?P<thread_id>.*?)\'/><Channel>(?P<channel>.*?)</Channel><Computer>(?P<computer>.*?)</Computer><Security\s+UserID=\'(?P<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?P<log_string>.*?)</Data></EventData></Event>\s*
47,(\w+\s+\d+\s+\d+:\d+:\d+)\s+(\S+)\s+(\S+)\((\S+)\)\[(\d+)\]\:\s+authentication\s+failure\;\s+logname=(.*?)\s+uid=(\d+)\s+euid=(\d+)\s+tty=(.*?)\s+ruser=(.*?)\s+rhost=(.*?)\s+user=(.*)
48,(\d{6})\s+(\d{6})\s+\d+\s+(INFO|WARN|ERROR)\s+([^\s:]+):.*?\s+blockMap\s+updated:\s+([\d.]+):\d+\s+is\s+added\s+to\s+blk_\d+\s+size\s+(\d+)\s*.*
49,(\w+\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(\S+)\s+(\S+)\[(\d+)\]\:\s+pam_unix\(([^:]+)\s*\s*:session\):\s*session\s+opened\s+for\s+user\s+(?<user_name>.*?)\s+by\s+\(uid=(?<user_id>.*?)\)
50,"(?P<timestamp>\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\w+)?(\((?P<service>[^)]+)\))?(\[(?P<pid>\d+)\])?:\s+(?P<message>.*)"
51,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+\+\d{2}:\d{2}\s+(?<protection>\w+):\s+(?<action>\w+)\s+(?<provider>.*)\s+
52,(\w+\s+\d+\s+\d+:\d+:\d+)\s+(\S+)\s+(\S+)\((\S+)\)\[(\d+)\]\:\s+(authentication\s+failure)\;\s+logname=(.*?)\s+uid=(\d+)\s+euid=(\d+)\s+tty=(.*?)\s+ruser=(.*?)\s+rhost=(.*?)\s+user=(.*)
53,"(?P<timestamp>\d{4}-\d{2}-\d{2} \d{2}:\d{2}:\d{2}\.\d+)\s+(?P<timezone>[+-]\d{2}:\d{2})\s+(?P<process>\w+)\((?P<pid>\d+),\s*(?P<thread_id>\d+)\): (?P<message>.*)$"
54,"<(\d+)>\s*(\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(\S+)\s+(.*?)\s+\s*(?<timestamp>\d{2}:\d{2}:\d{2},\d+)\s*,\s*SYSTEM,\s*(\w+),\s*(\d+),\s*(.*?),\s*,\s*(\w+-\w+-\w+)\s+\s*(?<protocol>IPSec)\s+(?<message_type>SA\s+delete\s+message\s+sent\s+to\s+peer)\.\s+SPI:(?<spi>0x[0-9A-Fa-f]+)\s*,\s*(?<id>\d+)\s*,\s*(?<hex_value>0x[0-9a-fA-F]+)\s*,\s*(?<value1>\d+)\s*,\s*(?<value2>\d+)\s*,\s*(?<value3>\d+)\s*,\s*(?<value4>\d+)\s*,\s*,\s*(?<host>.*?),\s*(?<field1>\d+),\s*(?<field2>\d+),\s*(?<timestamp2>.*?)$"
55,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/><EventID>(?<event_id>.*?)</EventID><Version>(?<version>.*?)</Version><Level>(?<level>.*?)</Level><Task>(?<task>.*?)</Task><Opcode>(?<opcode>.*?)</Opcode><Keywords>(?<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/><EventRecordID>(?<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/><Channel>(?<channel>.*?)</Channel><Computer>(?<computer>.*?)</Computer><Security\s+UserID=\'(?<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?<log_string>.*?)</Data></EventData></Event>
56,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s+(?<log_level>\w+)\s+\[(?<thread>[^\]]+)\]\s+(?<class>[^:]+):\s+(?<message>.*)"
57,"\[(?<timestamp>\d+\.\d+\s+\d+:\d+:\d+)\]\s+(?<process_name>[^-\s]+)\s+-\s+(?<destination>[^\s:]+:\d+)\s+(?<status>[^,]+),\s+(?<bytes_sent>\d+)\s+bytes\s+sent,\s+(?<bytes_received>\d+)\s+bytes\s+received,\s+lifetime\s+<\d+\s+sec"
58,(?<timestamp>Jul\s+1\s+09:00:56)\s+(?<hostname>authorMacBook-Pro)\s+(?<process>cdpd\[11807\]):\s+(?<message>Saw\s+change\s+in\s+network\s+reachability\s+\(isReachable=0\)).*
59,"(?P<month>\w{3})\s+(?P<day>\d{1,2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+(?P<process>[\w\[\]0-9]+):\s+(?P<message>.*)"
60,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s+(?<log_level>[A-Z]+)\s+\[(?<thread_name>.*?)\]\s+(?<class_name>.*?):\s+(?<message>.*)"
61,(?<timestamp>Feb\s+\d{2}\s+\d{2}:\d{2}:\d{2})\s+(?<hostname>CLV010VLCBEDR01)\s+(?<procid>systemd\[\d+\])\s*:?\s*(?<message>.*)
62,(?P<timestamp>\d{6} \d{6})\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
63,"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
64,"<(\d+)>\s+\s*(?<month_day>\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<hostname>[^,\s]+)\s+(?<version>\d),(?<timestamp>\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s*,\s*(\w+)\s*,\s*(\w+)\s*,\s*(\d+)\s*,\s*(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2})\s*,\s*,\s*(.*?)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(.*?)\s*,\s*(.*?)\s*,\s*\""([^\""]*)\""\s*,\s*(\d+)\s*,\s*(\w+)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*,\s*(\w+-\w+-\w+-\d+),\s*(\d+),\s*(\d+),\s*(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{2}:\d{2})"
65,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d+)\s+-\s+(?<severity>[A-Z]+)\s+\[(?<procid>.*?):(?<thread_id>.*?)\:(?<class_name>.*?)\@(?:\d+)\]\s+-\s+(?<message>.*)"
66,"(\S+)\s+(\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+(\d+)\s+(\w+)\s+(\S+)\s+\[(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\]\s+(\S+)\s+\""(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+\s+\s*(\d+)\s+time:\s+(.*?)$"
67,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>[A-Z]+)\s+(?<source>[\w:]+)\s+(?<message>.*)
